electroneg_mean,electroneg_std,electroneg_min,electroneg_max,electroneg_range,radius_mean,radius_std,radius_min,radius_max,radius_range,mass_mean,mass_std,mass_min,mass_max,mass_range,valence_mean,valence_std,valence_min,valence_max,valence_range,ionization_mean,ionization_std,ionization_min,ionization_max,ionization_range,mendeleev_mean,mendeleev_std,mendeleev_min,mendeleev_max,mendeleev_range,melting_mean,melting_std,melting_min,melting_max,melting_range,n_elements,n_atoms,crystal_system
2.703,0.933381,0.98,3.44,2.46,85,31.9374,60,145,85,18.6101,6.53327,6.941,28.09,21.149,4.8,1.66132,1,6,5,10.94,3.37591,5.39,13.62,8.23,75.2,25.2222,1,87,86,508.5,648.098,54,1687,1633,4,20,2
1.89034,0.112694,1.55,2.04,0.49,125,20.4686,85,140,55,48.699,19.3778,10.81,58.93,48.12,7.62069,2.41281,3,9,6,7.93586,0.217581,7.43,8.3,0.87,43.8276,14.4677,31,72,41,1871.03,251.992,1519,2349,830,3,29,7
2.69,1.06632,1,3.44,2.44,99.1667,55.4088,60,180,120,57.0133,81.4159,16,238,222,5.33333,1.49071,2,6,4,11.13,3.52147,6.11,13.62,7.51,69.8333,26.7608,16,87,71,456,574.645,54,1405,1351,3,6,5
1.5325,0.428683,0.79,1.78,0.99,181.25,45.4663,155,260,105,119.325,7.83753,114.8,132.9,18.1,2.5,0.866025,1,3,2,5.315,0.822724,3.89,5.79,1.9,57.5,30.3109,5,75,70,398,55.4256,302,430,128,2,12,4
3.17,1.14551,1.55,3.98,2.43,80,42.4264,50,140,90,30.98,16.9423,19,54.94,35.94,7,8.88178e-16,7,7,0,14.09,4.70933,7.43,17.42,9.99,72.3333,29.2271,31,93,62,541.667,691.079,53,1519,1466,2,6,4
2.39714,1.20533,0.95,3.44,2.49,117.857,66.9679,60,200,140,54.1914,46.9796,16,140.1,124.1,4.57143,1.76126,2,6,4,10.2,3.94935,5.54,13.62,8.08,55.5714,36.4216,7,87,80,483.429,495.893,54,1068,1014,3,14,3
2.635,1.01656,1,3.44,2.44,95.5,47.6943,60,180,120,24.3215,11.1141,16,44.96,28.96,4.8,1.56844,2,6,4,10.967,3.30062,6.11,13.62,7.51,68.2,29.6186,16,87,71,634.1,736.278,54,1814,1760,4,80,7
2.92667,0.725963,1.9,3.44,1.54,76.6667,23.5702,60,110,50,20.03,5.69928,16,28.09,12.09,5.33333,0.942809,4,6,2,11.7967,2.57858,8.15,13.62,5.47,84,4.24264,78,87,9,598.333,769.804,54,1687,1633,2,24,3
2.54,0.5,2.04,3.04,1,75,10,65,85,20,12.41,1.6,10.81,14.01,3.2,4,1,3,5,2,11.415,3.115,8.3,14.53,6.23,77,5,72,82,10,1206,1143,63,2349,2286,2,4,6
2.867,0.878693,1.33,3.44,2.11,84.5,37.779,60,155,95,30.51,24.4832,16,91.22,75.22,5.6,0.663325,4,6,2,11.547,3.16671,6.63,13.62,6.99,68.2,28.7221,23,87,64,687.2,967.333,54,2183,2129,3,40,7
2.55,0,2.55,2.55,0,70,0,70,70,0,12.01,0,12.01,12.01,0,4,0,4,4,0,11.26,0,11.26,11.26,0,77,0,77,77,0,3800,0,3800,3800,0,1,4,6
